Unidade Territorial;UF;Habitantes;Homens (%);Mulheres (%);Renda per Capita R$;Renda Domiciliar per Capita R$;Conectados a Internet (%);Automoveis por habitante;Domicilios;Habitantes por Domicilio;Esgoto (%);agua (%);Energia Eletrica (%)
Aguas Claras;DF;120107;47;52.53;5901;5900;100;1.57;52.014;2.31;99.94;99.94;99.94
Arniqueira;DF;47045;48;51.19;2827;2827;98.88;3.19;14.493;3.25;56.05;97.95;99.44
Brazlandia;DF;55879;48;51.58;1214;1213;97.09;4.58;15.408;3.63;97.45;97.27;99.64
Candangolandia;DF;16339;47;52.2;2431;2430;97.83;3.43;4.703;3.47;99.41;100;100
Ceilandia;DF;350347;47;52.61;1728;1727;97.51;4.73;110.111;3.18;99.5;99.63;100
Cruzeiro;DF;30860;45;54.03;4464;4464;99.6;2.46;11.323;2.73;100;100;100
Distrito Federal;DF;3010881;47;52.16;3.002;3001;98.97;3.73;963.812;3.12;93.03;97.06;98.3
Fercal;DF;9388;50;49.53;893;892;97.98;8.47;1.848;5.08;20;61.41;99.8
Gama;DF;137331;47;52.25;1773;1772;99.85;3.27;46.819;2.93;95.78;97.44;100
Guara;DF;142083;46;53.68;3679;3678;99.56;2.5;47.060;3.02;98.14;99.73;100
Itapoa;DF;65373;49;50.36;1042;1041;99.44;6.11;17.168;3.81;98.88;99.44;100
Jardim Botanico;DF;53045;49;50.92;6004;6003;100;1.49;21.237;2.5;60.78;88.69;99.25
Lago Norte;DF;37539;48;51.8;6489;6489;100;1.53;13.897;2.7;92.29;94.9;99.89
Lago Sul;DF;30446;48;51.67;10979;10979;100;1.41;9.018;3.38;93.3;99.04;100
Nucleo Bandeirante;DF;24093;46;53.46;2.892;2892;98.17;3.28;8.308;2.9;99.08;99.63;100
Paranoa;DF;69858;48;51.87;1102;1102;99.27;6.82;20.969;3.33;91.82;92.18;95.09
Park Way;DF;23081;48;51.58;7957;7957;99.35;1.56;6.098;3.79;53.81;98.32;99.74
Planaltina;DF;186498;48;51.67;1309;1308;98.53;5.1;49.852;3.74;88.31;99.45;99.5
Plano Piloto;DF;224848;46;53.44;7052;7051;99.84;2.1;91.294;2.46;99.92;99.95;99.96
Recanto das Emas;DF;133564;48;51.91;1155;1154;99.12;4.69;36.420;3.67;98.07;99.82;100
Riacho Fundo;DF;44464;47;52.55;2060;2060;97.65;4.36;12.667;3.51;93.31;99.82;99.46
Riacho Fundo II;DF;72988;49;50.89;1.564;1563;99.84;5.77;16.722;4.36;96.51;98.89;99.68
Samambaia;DF;247629;48;51.67;1806;1806;98.56;4.31;68.788;3.6;99.49;100;100
Santa Maria;DF;130970;48;51.98;1503;1503;98.03;4.6;38.190;3.43;98.36;99.67;100
Sao Sebastiao;DF;118972;48;51.11;1063;1063;99.24;5.8;31.776;3.74;69.78;72.97;77.13
SCIA-Estrutural;DF;37527;50;49.35;695;695;96.57;8.23;10.640;3.53;77.42;79.27;77.61
SIA;DF;1737;67;32.82;2761;2761;100;2.19;905;1.92;99.66;100;100
Sobradinho;DF;73438;47;52.96;2619;2619;98.98;2.8;23.131;3.17;87.76;90.82;97.08
Sobradinho II;DF;78837;48;51.79;1560;1560;99.53;3.23;25.951;3.04;87.58;93;100
Sol Nascente/Por do Sol;DF;93217;49;50.26;916;915;96.16;7.02;29.114;3.2;71.38;95.45;91.27
Sudoeste/Octogonal;DF;55366;47;52.94;7842;7842;100;1.73;23.546;2.35;99.91;100;99.91
Taguatinga;DF;210498;46;54;2592;2592;99.7;2.74;76.553;2.75;98.31;99.99;99.9
Varjao;DF;8953;48;51.03;1211;1210;99.36;6.42;2.497;3.59;98.08;99.79;99.36
Vicente Pires;DF;78561;49;50.53;2988;2987;99.58;2.44;25.292;3.11;84.47;88.34;93.79
Aguas Lindas de Goias;GO;199206;49;50.16;755;755;75.05;2.71;52.238;3.81;41.6;98.1;99.1
Alexania;GO;20444;50;49.56;938;938;62.56;2.09;6.807;3;21.7;95.2;99.8
Cidade Ocidental;GO;43618;48;51.08;969;969;69.26;2.34;12.967;3.36;48.6;99.1;99.1
Cocalzinho de Goaias;GO;12156;51;48.71;710;710;69.81;2.87;3.164;3.84;31.4;99.6;99.9
Cristalina;GO;28138;51;48.68;680;680;57.56;2.6;8.122;3.46;41.1;95.3;99.5
Formosa;GO;64004;49;50.17;674;674;65.74;2.63;17.674;3.62;68.5;99.6;99.5
Luziania;GO;121739;49;50.28;723;723;74.48;2.74;33.826;3.6;38.9;86.4;99.9
Novo Gama;GO;70843;48;51.09;744;744;72.89;2.37;19.878;3.56;43.6;95.6;99.7
Padre Bernardo;GO;22584;50;49.84;699;699;71.06;2.64;6.462;3.49;48.6;91;99.7
Planaltina de Goias;GO;73340;49;50.39;842;842;61.49;2.25;24.200;3.03;49.3;99.4;99.4
Santo Antonio do Descoberto;GO;39197;49;50.93;574;574;70.09;2.75;10.333;3.79;38.5;95.7;99.8
Valparaiso de Goias;GO;130801;48;51.53;1098;1098;71.6;2.06;39.252;3.33;59;98.2;99
